City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,xai-xai,-25.0519,33.6442,68.32,91,6,3.06,MZ,1680573337
337,makat,47.6469,53.3463,49.01,22,74,8.28,KZ,1680573337
338,abu samrah,35.3029,37.1841,57.27,56,21,5.39,SY,1680573203
339,kalmar,56.6616,16.3616,30.96,84,91,3.44,SE,1680573338
340,rincon,32.296,-81.2354,71.56,89,100,4.61,US,1680573338
341,luderitz,-26.6481,15.1594,62.69,63,0,14.58,NA,1680573147
342,tecoanapa,16.5167,-98.75,80.33,77,91,7.02,MX,1680573338
343,taiyuan,37.8694,112.5603,42.66,81,40,8.95,CN,1680573338
344,hofn,64.2539,-15.2082,46.08,94,100,22.12,IS,1680573176
345,rocha,-34.4833,-54.3333,61.34,90,100,1.05,UY,1680573215
346,pacific grove,36.6177,-121.9166,53.28,67,0,21.99,US,1680573339
347,ruston,32.5232,-92.6379,76.59,88,0,9.22,US,1680573265
348,puerto cabello,10.4731,-68.0125,89.15,89,65,11.3,VE,1680573339
349,ponta delgada,37.7333,-25.6667,56.12,82,20,8.05,PT,1680573200
350,poso,-1.3959,120.7524,85.64,63,63,3.62,ID,1680573213
351,adrar,20.5022,-10.0711,74.91,10,0,12.19,MR,1680573219
352,teshie,5.5836,-0.1072,81.36,75,85,4.54,GH,1680573340
353,praia da vitoria,38.7333,-27.0667,56.75,94,0,8.37,PT,1680573191
354,waingapu,-9.6567,120.2641,83.1,75,79,5.64,ID,1680573340
355,kutum,14.2,24.6667,70.07,15,100,8.28,SD,1680573219
356,vryburg,-26.9566,24.7284,54.39,36,0,7.31,ZA,1680573340
357,esil,51.9556,66.4042,35.28,69,56,9.73,KZ,1680573341
358,najran,17.4924,44.1277,61.45,43,100,4.25,SA,1680573341
359,halifax,44.6453,-63.5724,35.69,77,100,17.27,CA,1680573208
360,zambezi,-13.5432,23.1047,64.78,96,100,5.12,ZM,1680573341
361,biu,10.6129,12.1946,77.02,12,86,5.26,NG,1680573341
362,hanyang,32.1371,105.5126,49.96,76,100,5.28,CN,1680573342
363,statesboro,32.4488,-81.7832,66.0,94,100,4.61,US,1680573130
